Taxa,Actual_Protein,Predicted_Protein,Actual_Oil,Predicted_Oil,Actual_Seedsize,Predicted_Seedsize,Actual_Height,Predicted_Height,Actual_Maturity,Predicted_Maturity
DS11-04192,43.24514251,41.150114212999995,21.82536524,22.288546880699997,18.99946995,18.326918826299988,98.36811686,103.76397415790007,1024.981712,1018.7343421570002
DS11-02157,42.34514251,41.36519757420002,22.85036524,21.9587436953,19.27446995,18.30549021039999,91.72674624,103.64117280840003,1063.655453,1022.9802233839998
DS11-04225,42.17014251,41.12296154339998,22.80036524,22.260149351200003,18.59946995,18.7864447341,104.9395454,105.26853729800004,1025.124569,1022.2727439830007
DS11-03076,37.26365637,39.98156503899999,22.44905689,22.084666648599992,17.26878296,17.89394398579999,94.50706828,99.13839246770007,997.6074336,1013.0690769480002
DS11-03006,39.8469897,41.772000232499984,21.66572356,22.1698806207,18.51878296,18.851183927,97.06262384,104.2613110238001,1000.496322,1019.9834859260003
DS11-05027,40.26834214,41.5841313055,21.94942843,22.159898098500012,16.73008997,18.463319718399987,103.173735,103.12790917540003,998.3852114,1017.3061354520001
DS11-05002,40.22834214,41.1187768043,22.38942843,22.58397622189999,17.01008997,17.86386859339999,99.44644547,102.44884998330006,999.4963225,1018.8939396809998
DS11-03026,39.31365637,40.589646184199985,21.61572356,22.04436680639999,20.06878296,19.104947639599995,96.39595717,102.41641896070007,1001.718545,1018.5796994340001
DS11-02151,40.27014251,41.89254188600001,23.32536524,22.193343440400003,19.54946995,18.810579472500002,109.4328179,105.46445989420003,1036.823271,1021.1694930240003
DS11-05117,43.34514251,41.48487949639999,22.12536524,22.092160789599998,21.94946995,18.9375122773,102.0824026,105.89516698140005,1037.944111,1025.4984426700003
DS11-02024,40.7469897,40.849374968899994,21.24905689,22.118959256699995,16.63544963,17.6211646461,105.2779955,107.29363401899995,1002.516332,1017.2294550579995
DS11-03143,42.42014251,41.53626809270001,21.62536524,22.174116938500006,18.59946995,18.969336518199995,108.8934129,104.78546416590005,1043.74743,1021.475513225
DS11-05044,40.62834214,41.0856835033,21.68942843,21.658682532500002,17.11008997,19.568893532500002,96.28484606,108.00079144500009,1000.718545,1014.1869116760005
DS11-02169,40.92014251,40.758514356499994,23.12536524,22.189261212099996,17.82446995,18.626305399199993,109.2267462,108.67116302010007,1043.080764,1022.1475159540001
DS11-04214,43.07014251,41.5731061342,22.12536524,21.8731247996,18.02446995,18.145539758099996,99.08240258,101.70697115480007,1024.838855,1014.7338090490002
DS11-05016,40.20834214,41.872108436,22.24942843,22.231135685699996,18.37008997,18.7162100401,100.173735,108.41432265500005,1000.385211,1019.8000709670002
DS11-05174,42.77014251,40.77222367349999,22.25036524,22.0847842228,18.84946995,19.5493781942,110.2899607,106.62742007240008,1022.592421,1013.6218709170005
DS11-02057,38.56365637,39.75974116559999,21.91572356,22.373248398700007,17.66878296,17.65310519309999,113.6117959,109.9336055516,1015.475567,1020.4148621789996
DS11-04124,42.22014251,41.72069819319999,21.92536524,22.371298513999996,17.32446995,17.814966140799996,108.2267462,107.97053493190003,1039.914097,1021.2332663390007
DS11-05047,39.60834214,40.63508492439999,22.60942843,22.361546075400007,16.25008997,18.949196352599998,102.8404016,105.72006549150005,1002.162989,1019.6023340049999
DS11-05169,41.22014251,41.19684007319999,23.60036524,22.436652226600007,18.34946995,18.483846708499993,95.43281787,104.45368895330004,1020.163849,1018.7195388560001
DS11-05170,40.22014251,40.457003334799985,23.25036524,22.321934770000006,15.47446995,18.6225787531,94.43281787,110.1061215903001,1018.306707,1018.6289550050002
DS11-04062,38.66365637,39.57043545389996,21.36572356,21.865605925600004,17.06878296,17.576225178099993,102.3959572,102.93483297910007,1011.657448,1011.5095885970005
DS11-04181,43.39514251,41.40946153,21.95036524,22.130593869,19.02446995,18.559860915299986,105.6538311,100.38265498180006,1025.55314,1013.1931035800006
DS11-02161,42.42014251,41.311780188299984,22.60036524,22.328315314800008,18.92446995,18.399653076700005,114.2267462,112.05412138810001,1041.914097,1028.896103185
DS11-05129,43.12014251,42.06350892839999,22.37536524,22.111954610500003,17.97446995,17.814550603299995,112.510974,108.04212642660006,1040.277444,1020.5441398750005
DS11-05177,41.17014251,40.871616008,22.82536524,22.062982277500005,16.42446995,18.595845151599995,102.0042464,102.27497793960005,1019.306707,1017.8190580630005
DS11-03168,45.0134475,41.28620415549997,23.38475393,22.787953001800005,21.31187728,19.320275237000004,99.53075821,102.14285283140002,1012.441793,1017.4548609420003
DS11-03003,39.66365637,40.55122544190001,21.58239023,22.047479573299988,19.11878296,18.947188008099996,104.0626238,102.55958524430001,1001.607434,1014.7123096219995
DS11-04153,43.27014251,41.756343857200015,21.75036524,21.972520049800004,16.87446995,18.766916993799995,95.06007958,101.34500219440004,1036.24743,1013.9510591660002
DS11-05146,43.47014251,41.74746029659998,22.12536524,21.835730622599996,16.82446995,18.4743187048,92.510974,108.31191051550002,1016.981712,1020.5800512850001
DS11-04156,42.47014251,41.1323550229,22.42536524,22.285059513,17.49946995,17.877186675299992,104.0600796,105.8363714579,1040.080764,1019.7366186520002
DS11-05093,40.92834214,41.42174335279999,21.38942843,22.07578225610001,16.97008997,18.206399608499996,105.5070683,105.66740812140002,1000.718545,1016.7773913100002
DS11-03111,41.52014251,41.1629019456,22.75036524,22.566536309400004,21.47446995,20.0137061732,112.5600796,108.18051794720004,1040.74743,1018.3397198100002
DS11-02006,37.7469897,40.956963876899984,21.73239023,22.1372209996,17.3521163,17.764160698599994,105.3779955,110.92639513680002,995.0854302,1023.2049987959995
DS11-04152,46.28442178,41.909346310600014,22.95090757,22.27220586220001,20.81574573,18.25482029709999,112.7267462,106.75747031390003,1041.080764,1023.5373812610009
DS11-05048,40.24834214,40.639673109699984,21.90942843,22.260914282100007,17.23008997,19.377699946500005,100.2848461,102.21007923920007,1011.657448,1012.8904227849999
